dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
RU,qwen3,baseline,,,5.96150566,1.289427757,0.561523438,0.798212869,0.798830979,8212
RU,qwen3,LoRA,q+v,4,16.32881725,3.047973156,0.3984375,0.904119167,0.90428641,8212
RU,qwen3,LoRA,q+v,8,16.30191648,3.05523634,0.379638672,0.907256547,0.907452509,8212
RU,qwen3,LoRA,q+v,16,16.31346074,3.069762707,0.361816406,0.910664566,0.910862153,8212
RU,qwen3,LoRA,q+v,32,16.6104088,3.098815441,0.340332031,0.913118215,0.913297613,8212
RU,qwen3,LoRA,q+k+v,4,17.75738792,3.190669537,0.38671875,0.904444772,0.904529956,8212
RU,qwen3,LoRA,q+k+v,8,17.68766388,3.200923443,0.376220703,0.909611891,0.909766196,8212
RU,qwen3,LoRA,q+k+v,16,17.65736797,3.221431255,0.363037109,0.912174441,0.912323429,8212
RU,qwen3,LoRA,q+k+v,32,18.19463145,3.26244688,0.354492188,0.915817032,0.91597662,8212
RU,qwen3,LoRA,q+k+v+o,4,19.45813545,3.4684062,0.370117188,0.90935962,0.90952265,8212
RU,qwen3,LoRA,q+k+v+o,8,19.41731422,3.482932568,0.358398438,0.911201308,0.911349245,8212
RU,qwen3,LoRA,q+k+v+o,16,19.2036665,3.511985302,0.345703125,0.915258466,0.915489528,8212
RU,qwen3,LoRA,q+k+v+o,32,19.99935688,3.570090771,0.326660156,0.91774767,0.917924988,8212
RU,qwen3,QLoRA nf4,q+v,4,20.52024093,2.347263813,0.424617738,0.900555092,0.900754993,8212
RU,qwen3,QLoRA nf4,q+v,8,20.45731667,2.357838154,0.4088929,0.904277711,0.904408183,8212
RU,qwen3,QLoRA nf4,q+v,16,20.42469045,2.369465351,0.395435095,0.90868553,0.908792012,8212
RU,qwen3,QLoRA nf4,q+v,32,20.5279839,2.396870136,0.380986273,0.91013911,0.910253288,8212
RU,qwen3,QLoRA nf4,q+k+v,4,21.4904053,2.435234547,0.432107955,0.900113596,0.900267901,8212
