method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
QLoRA fp4,q+k+v,4,548.9902101,3.548171997,0.525106728,0.876423836,0.876522163,3000
QLoRA fp4,q+k+v,8,546.5852039,3.562431335,0.517528236,0.879373911,0.879444715,3000
QLoRA fp4,q+k+v,16,544.8907003,3.579475403,0.501509368,0.882899705,0.882854359,3000
QLoRA fp4,q+k+v,32,547.7050898,3.629432678,0.459792584,0.889929511,0.889917194,3000
QLoRA fp4,q+k+v+o,4,572.7412431,3.716472626,0.516685545,0.877557736,0.87761812,3000
QLoRA fp4,q+k+v+o,8,569.8096273,3.732990265,0.463992923,0.885016244,0.885046274,3000
QLoRA fp4,q+k+v+o,16,567.4473107,3.763828278,0.445025533,0.891928251,0.891987336,3000
QLoRA fp4,q+k+v+o,32,578.1674149,3.829166412,0.424545437,0.898214404,0.898197759,3000
baseline,,,119.3654265,3.829166412,0.865234375,0.655717684,0.657087189,1500
LoRA,q+v,4,315.5596037,3.460201263,0.501546562,0.854198601,0.854237701,1500
LoRA,q+v,8,312.7257092,3.468578339,0.516388535,0.866980971,0.867145641,1500
LoRA,q+v,16,314.1087461,3.483379364,0.522343874,0.873995216,0.874208475,1500
LoRA,q+v,32,313.6753609,3.517375946,0.517351151,0.881356848,0.881393083,1500
LoRA,q+k+v,4,331.1035745,3.544509888,0.51589793,0.863128303,0.863248904,1500
LoRA,q+k+v,8,327.6291842,3.557060242,0.529705405,0.870207694,0.870311739,1500
LoRA,q+k+v,16,327.2042224,3.581184387,0.494959831,0.878895098,0.879079396,1500
LoRA,q+k+v,32,329.2260082,3.626502991,0.473949343,0.887321093,0.887481734,1500
LoRA,q+k+v+o,4,342.8015134,3.71818161,0.512336731,0.875053218,0.875304433,1500
LoRA,q+k+v+o,8,341.3549294,3.733478546,0.498908371,0.882082733,0.882367267,1500
LoRA,q+k+v+o,16,340.1506658,3.764072418,0.487659812,0.884868926,0.885168047,1500
LoRA,q+k+v+o,32,342.4584336,3.828678131,0.49505496,0.888472219,0.888699464,1500
QLoRA nf4,q+v,4,315.1643941,3.459224701,0.484627783,0.848357177,0.848636142,1500
QLoRA nf4,q+v,8,315.2242978,3.470531464,0.526940644,0.868863114,0.869094009,1500
QLoRA nf4,q+v,16,316.4236469,3.48191452,0.508986771,0.878118259,0.878348758,1500
QLoRA nf4,q+v,32,316.6282833,3.517864227,0.491756797,0.884276746,0.884437409,1500
QLoRA nf4,q+k+v,4,328.4818408,3.54548645,0.51589793,0.863128303,0.863248904,1500
QLoRA nf4,q+k+v,8,330.5264847,3.564872742,0.50774163,0.877407835,0.87761812,1500
QLoRA nf4,q+k+v,16,330.2594464,3.581672668,0.495823562,0.882186486,0.882367267,1500
QLoRA nf4,q+k+v,32,329.8357241,3.630897522,0.496986061,0.886019012,0.886142231,1500
QLoRA nf4,q+k+v+o,4,343.6414316,3.719158173,0.512336731,0.875053218,0.875304433,1500
QLoRA nf4,q+k+v+o,8,342.0613253,3.737873077,0.506780803,0.878205529,0.878348758,1500
QLoRA nf4,q+k+v+o,16,341.0234261,3.766513824,0.492205858,0.884281512,0.884437409,1500
QLoRA nf4,q+k+v+o,32,344.0626009,3.833560944,0.480418354,0.889260959,0.889430102,1500
QLoRA fp4,q+v,4,318.3446734,3.45873642,0.523361981,0.837218514,0.837433025,1500
QLoRA fp4,q+v,8,317.7554159,3.465648651,0.532361269,0.86294245,0.863248904,1500
QLoRA fp4,q+v,16,317.404834,3.483379364,0.535094976,0.873584519,0.873843156,1500
