dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,QLoRA nf4,q+k+v,16,37.52231826,2.469711781,0.298782408,0.934566365,0.934605263,15000
EN,qwen3,QLoRA nf4,q+k+v,32,37.72912803,2.51747179,0.289286107,0.935153107,0.935263158,15000
EN,qwen3,QLoRA nf4,q+k+v+o,4,39.45787823,2.60158205,0.315379292,0.930432064,0.930526316,15000
EN,qwen3,QLoRA nf4,q+k+v+o,8,39.27816264,2.624935627,0.298323125,0.933591241,0.933684211,15000
EN,qwen3,QLoRA nf4,q+k+v+o,16,39.12369395,2.651379108,0.289564699,0.936108551,0.936184211,15000
EN,qwen3,QLoRA nf4,q+k+v+o,32,39.48249969,2.71940279,0.270277917,0.940188672,0.940263158,15000
EN,qwen3,QLoRA fp4,q+v,4,36.13950917,2.345798969,0.338482559,0.927138492,0.927236842,15000
EN,qwen3,QLoRA fp4,q+v,8,36.06199426,2.354908466,0.328328371,0.92950609,0.929605263,15000
EN,qwen3,QLoRA fp4,q+v,16,36.34550671,2.368732929,0.313822716,0.932265724,0.932368421,15000
EN,qwen3,QLoRA fp4,q+v,32,36.58246837,2.403706074,0.305938363,0.932368148,0.9325,15000
EN,qwen3,QLoRA fp4,q+k+v,4,38.49662088,2.437431812,0.339339405,0.926911669,0.926973684,15000
EN,qwen3,QLoRA fp4,q+k+v,8,38.23541712,2.448517323,0.310509086,0.930459097,0.930526316,15000
EN,qwen3,QLoRA fp4,q+k+v,16,38.14102764,2.470444202,0.299896061,0.934115549,0.934210526,15000
EN,qwen3,QLoRA fp4,q+k+v,32,38.3813633,2.514542103,0.290690243,0.935823005,0.935921053,15000
EN,qwen3,QLoRA fp4,q+k+v+o,4,41.39231213,2.605976582,0.32534194,0.929070435,0.929210526,15000
EN,qwen3,QLoRA fp4,q+k+v+o,8,40.93245444,2.623959064,0.307169437,0.933264289,0.933289474,15000
EN,qwen3,QLoRA fp4,q+k+v+o,16,40.00792019,2.656750202,0.300586611,0.933878316,0.933947368,15000
EN,qwen3,QLoRA fp4,q+k+v+o,32,40.3660174,2.720623493,0.283036023,0.938105575,0.938157895,15000
EN,qwen3,baseline,,,5.794798505,1.289412498,0.379638672,0.873649556,0.873815789,8000
EN,qwen3,LoRA,q+v,4,15.77687788,3.047973156,0.338378906,0.928128553,0.928157895,8000
EN,qwen3,LoRA,q+v,8,15.6854401,3.05523634,0.432128906,0.91781138,0.917763158,8000
EN,qwen3,LoRA,q+v,16,15.6884006,3.069762707,0.499511719,0.924490107,0.924473684,8000
EN,qwen3,LoRA,q+v,32,16.14156438,3.098815441,0.393066406,0.92817136,0.928289474,8000
EN,qwen3,LoRA,q+k+v,4,17.1043238,3.190669537,0.331054688,0.927369031,0.927368421,8000
EN,qwen3,LoRA,q+k+v,8,17.12307254,3.200923443,0.328369141,0.927175839,0.927236842,8000
EN,qwen3,LoRA,q+k+v,16,17.11749839,3.221431255,0.313232422,0.930240442,0.930263158,8000
EN,qwen3,LoRA,q+k+v,32,17.60972852,3.26244688,0.296630859,0.933298231,0.933289474,8000
EN,qwen3,LoRA,q+k+v+o,4,18.61621835,3.4684062,0.349121094,0.925760599,0.925789474,8000
