dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen2.5,QLoRA fp4,q+k+v+o,4,6.601041905,3.934013367,1.247728825,0.530627053,0.531578947,300
EN,qwen2.5,QLoRA fp4,q+k+v+o,8,6.579777888,3.947120667,0.863267422,0.672978929,0.679473684,300
EN,qwen2.5,QLoRA fp4,q+k+v+o,16,6.582020132,3.981575012,0.655338466,0.753263903,0.7575,300
EN,qwen2.5,QLoRA fp4,q+k+v+o,32,6.549679585,4.044746399,0.501237214,0.813315731,0.815789474,300
EN,qwen3,baseline,,,5.794798505,1.289412498,0.379638672,0.873649556,0.873815789,8000
EN,qwen3,LoRA,q+v,4,15.77687788,3.047973156,0.338378906,0.928128553,0.928157895,8000
EN,qwen3,LoRA,q+v,8,15.6854401,3.05523634,0.432128906,0.91781138,0.917763158,8000
EN,qwen3,LoRA,q+v,16,15.6884006,3.069762707,0.499511719,0.924490107,0.924473684,8000
EN,qwen3,LoRA,q+v,32,16.14156438,3.098815441,0.393066406,0.92817136,0.928289474,8000
EN,qwen3,LoRA,q+k+v,4,17.1043238,3.190669537,0.331054688,0.927369031,0.927368421,8000
EN,qwen3,LoRA,q+k+v,8,17.12307254,3.200923443,0.328369141,0.927175839,0.927236842,8000
EN,qwen3,LoRA,q+k+v,16,17.11749839,3.221431255,0.313232422,0.930240442,0.930263158,8000
EN,qwen3,LoRA,q+k+v,32,17.60972852,3.26244688,0.296630859,0.933298231,0.933289474,8000
EN,qwen3,LoRA,q+k+v+o,4,18.61621835,3.4684062,0.349121094,0.925760599,0.925789474,8000
EN,qwen3,LoRA,q+k+v+o,8,18.62325967,3.482932568,0.317382813,0.929729362,0.929736842,8000
EN,qwen3,LoRA,q+k+v+o,16,18.61955736,3.511985302,0.302001953,0.933106758,0.933157895,8000
EN,qwen3,LoRA,q+k+v+o,32,19.46518961,3.570090771,0.291992188,0.935108659,0.935131579,8000
EN,qwen3,QLoRA nf4,q+v,4,19.95428161,2.351658344,0.364120454,0.924616444,0.924736842,8000
EN,qwen3,QLoRA nf4,q+v,8,19.94303703,2.357594013,0.32921356,0.924638737,0.924736842,8000
EN,qwen3,QLoRA nf4,q+v,16,19.96656206,2.373371601,0.334039092,0.927336701,0.927368421,8000
EN,qwen3,QLoRA nf4,q+v,32,20.15587508,2.406879902,0.316030174,0.929638131,0.929736842,8000
EN,qwen3,QLoRA nf4,q+k+v,4,21.15512638,2.437920094,0.355057269,0.923605725,0.923684211,8000
EN,qwen3,QLoRA nf4,q+k+v,8,21.12765711,2.448517323,0.331819952,0.925700802,0.925789474,8000
EN,qwen3,QLoRA nf4,q+k+v,16,20.98143413,2.472641468,0.32973671,0.927674857,0.927763158,8000
EN,qwen3,QLoRA nf4,q+k+v,32,21.11280723,2.516495228,0.309299797,0.931894413,0.931973684,8000
EN,qwen3,QLoRA nf4,q+k+v+o,4,22.61887935,2.603535175,0.336401135,0.925836386,0.925921053,8000
EN,qwen3,QLoRA nf4,q+k+v+o,8,22.37768382,2.618832111,0.321073532,0.929998609,0.930131579,8000
EN,qwen3,QLoRA nf4,q+k+v+o,16,21.99991355,2.652599812,0.313060939,0.93111204,0.931184211,8000
EN,qwen3,QLoRA nf4,q+k+v+o,32,21.88714502,2.713543415,0.2973454,0.933881412,0.933947368,8000
EN,qwen3,QLoRA fp4,q+v,4,20.13313807,2.347752094,0.358082026,0.922394641,0.9225,8000
EN,qwen3,QLoRA fp4,q+v,8,20.07341783,2.355640888,0.346843839,0.926474389,0.926578947,8000
EN,qwen3,QLoRA fp4,q+v,16,19.99448948,2.368000507,0.330764204,0.926902775,0.926973684,8000
EN,qwen3,QLoRA fp4,q+v,32,20.0469723,2.402973652,0.330305606,0.93108035,0.931184211,8000
EN,qwen3,QLoRA fp4,q+k+v,4,21.31378049,2.435722828,0.362748563,0.92081382,0.920921053,8000
EN,qwen3,QLoRA fp4,q+k+v,8,20.97119502,2.448273182,0.345094949,0.922065053,0.922105263,8000
EN,qwen3,QLoRA fp4,q+k+v,16,20.97513359,2.464828968,0.33608529,0.930427472,0.930526316,8000
EN,qwen3,QLoRA fp4,q+k+v,32,21.04213572,2.516251087,0.311504602,0.931200206,0.931184211,8000
EN,qwen3,QLoRA fp4,q+k+v+o,4,22.02308227,2.605000019,0.346421748,0.92319369,0.923289474,8000
EN,qwen3,QLoRA fp4,q+k+v+o,8,21.91871862,2.620052814,0.33550036,0.92479009,0.924868421,8000
EN,qwen3,QLoRA fp4,q+k+v+o,16,21.83480288,2.65186739,0.320426792,0.928990049,0.929078947,8000
EN,qwen3,QLoRA fp4,q+k+v+o,32,22.03037157,2.716473103,0.305490166,0.932208896,0.932236842,8000
EN,qwen3,baseline,,,2.845,1.289077759,0.412597656,0.853451018,0.853758278,3000
EN,qwen3,LoRA,q+v,4,6.676666667,3.047973156,0.413574219,0.914207926,0.914473684,3000
EN,qwen3,LoRA,q+v,8,6.713333333,3.055236339,0.39819335,0.915588019,0.915789474,3000
EN,qwen3,LoRA,q+v,16,6.645,3.0697627,0.37915039,0.91668337,0.916842105,3000
EN,qwen3,LoRA,q+v,32,6.833333333,3.09881544,0.37255859,0.920322614,0.920526316,3000
EN,qwen3,LoRA,q+k+v,4,7.236166667,3.190669537,0.39111328,0.913640724,0.913815789,3000
EN,qwen3,LoRA,q+k+v,8,7.296666667,3.200923,0.387207315,0.91541387,0.915657895,3000
EN,qwen3,LoRA,q+k+v,16,7.216666667,3.22143125,0.36743164,0.91842142,0.918684211,3000
EN,qwen3,LoRA,q+k+v,32,7.443333333,3.26244688,0.361572266,0.921391785,0.921578947,3000
EN,qwen3,LoRA,q+k+v+o,4,7.916666667,3.4684062,0.3840332,0.91384234,0.914078947,3000
EN,qwen3,LoRA,q+k+v+o,8,7.878333333,3.482932568,0.37597656,0.915292571,0.915526316,3000
EN,qwen3,LoRA,q+k+v+o,16,7.85,3.5119853,0.359130859,0.919954907,0.920131579,3000
EN,qwen3,LoRA,q+k+v+o,32,8.216666667,3.5700907,0.355712891,0.923774435,0.923947368,3000
EN,qwen3,QLoRA nf4,q+v,4,8.554461078,2.337009907,0.406510949,0.911525287,0.911842105,3000
EN,qwen3,QLoRA nf4,q+v,8,8.563411125,2.355420113,0.414462,0.908794716,0.909078947,3000
EN,qwen3,QLoRA nf4,q+v,16,8.555383956,2.369465351,0.396051228,0.915928562,0.916184211,3000
EN,qwen3,QLoRA nf4,q+v,32,8.61006424,2.399799824,0.382431746,0.919459363,0.919736842,3000
EN,qwen3,QLoRA nf4,q+k+v,4,9.041991949,2.435722828,0.420618892,0.907065546,0.907368421,3000
EN,qwen3,QLoRA nf4,q+k+v,8,9.008397925,2.446320057,0.406107813,0.914027503,0.914210526,3000
EN,qwen3,QLoRA nf4,q+k+v,16,8.882506875,2.469955921,0.384617984,0.918450941,0.918684211,3000
EN,qwen3,QLoRA nf4,q+k+v,32,8.946062092,2.509903431,0.362537742,0.919893487,0.920131579,3000
EN,qwen3,QLoRA nf4,q+k+v+o,4,9.328467715,2.600849628,0.404741794,0.91160278,0.911842105,3000
EN,qwen3,QLoRA nf4,q+k+v+o,8,9.29479965,2.621761799,0.383236676,0.916762269,0.916973684,3000
EN,qwen3,QLoRA nf4,q+k+v+o,16,9.252978381,2.654308796,0.377703041,0.918361591,0.918684211,3000
EN,qwen3,QLoRA nf4,q+k+v+o,32,9.343556694,2.714275837,0.364318401,0.923322057,0.923552632,3000
EN,qwen3,QLoRA fp4,q+v,4,8.581637498,2.349461079,0.43324694,0.905896208,0.906184211,3000
EN,qwen3,QLoRA fp4,q+v,8,8.573678764,2.354420185,0.415067524,0.908764271,0.908947368,3000
EN,qwen3,QLoRA fp4,q+v,16,8.551862939,2.371174335,0.404210448,0.913971156,0.914210526,3000
EN,qwen3,QLoRA fp4,q+v,32,8.599360184,2.402973652,0.397886217,0.918596765,0.918815789,3000
EN,qwen3,QLoRA fp4,q+k+v,4,8.993783919,2.435234547,0.425184637,0.905837167,0.906052632,3000
EN,qwen3,QLoRA fp4,q+k+v,8,8.990693275,2.449493885,0.419843823,0.908457161,0.908684211,3000
EN,qwen3,QLoRA fp4,q+k+v,16,8.952303684,2.470932484,0.408538759,0.912423938,0.912631579,3000
EN,qwen3,QLoRA fp4,q+k+v,32,9.033458877,2.516495228,0.392183512,0.918489771,0.918684211,3000
EN,qwen3,QLoRA fp4,q+k+v+o,4,9.420661068,2.606953144,0.419776171,0.905875427,0.906052632,3000
EN,qwen3,QLoRA fp4,q+k+v+o,8,9.397456046,2.620785236,0.397007346,0.91245882,0.912763158,3000
EN,qwen3,QLoRA fp4,q+k+v+o,16,9.337225465,2.650890827,0.376982063,0.917299493,0.9175,3000
EN,qwen3,QLoRA fp4,q+k+v+o,32,9.429254683,2.715740681,0.374134809,0.920583861,0.920789474,3000
EN,qwen3,baseline,,,1.952276993,4.591526031,0.49609375,0.819726831,0.819868421,1500
EN,qwen3,LoRA,q+v,4,3.963313834,3.115234375,0.443603516,0.90209046,0.902236842,1500
EN,qwen3,LoRA,q+v,8,3.967567035,3.26171875,0.422119141,0.904493303,0.904605263,1500
EN,qwen3,LoRA,q+v,16,3.93547521,3.5,0.527832031,0.896449966,0.896710526,1500
EN,qwen3,LoRA,q+v,32,4.032133798,3.123046875,0.375732422,0.913563151,0.913684211,1500
EN,qwen3,LoRA,q+k+v,4,4.300955693,3.271484375,0.458984375,0.890922058,0.891184211,1500
EN,qwen3,LoRA,q+k+v,8,4.315288333,3.515625,0.439208984,0.902019744,0.902368421,1500
EN,qwen3,LoRA,q+k+v,16,4.261682614,3.13671875,0.417480469,0.905497,0.905789474,1500
EN,qwen3,LoRA,q+k+v,32,4.406974657,3.29296875,0.413574219,0.907887319,0.908157895,1500
EN,qwen3,LoRA,q+k+v+o,4,4.674155279,3.544921875,0.430419922,0.902145754,0.9025,1500
EN,qwen3,LoRA,q+k+v+o,8,4.661773876,3.166015625,0.412353516,0.906489424,0.906710526,1500
EN,qwen3,LoRA,q+k+v+o,16,4.628384443,3.333984375,0.393066406,0.909454417,0.909605263,1500
EN,qwen3,LoRA,q+k+v+o,32,4.857480009,3.603515625,0.374267578,0.913908689,0.914210526,1500
EN,qwen3,QLoRA nf4,q+v,4,5.101888871,2.872004032,0.476172239,0.888984721,0.889342105,1500
EN,qwen3,QLoRA nf4,q+v,8,5.08723793,2.877939701,0.460928291,0.896435714,0.896842105,1500
EN,qwen3,QLoRA nf4,q+v,16,5.060823826,2.895182133,0.439322293,0.901627151,0.901973684,1500
EN,qwen3,QLoRA nf4,q+v,32,5.078264244,2.925272465,0.44476226,0.904239585,0.904605263,1500
EN,qwen3,QLoRA nf4,q+k+v,4,5.319965454,2.955824375,0.457194746,0.892186875,0.892631579,1500
EN,qwen3,QLoRA nf4,q+k+v,8,5.303115328,2.969351292,0.426117867,0.902395587,0.902631579,1500
EN,qwen3,QLoRA nf4,q+k+v,16,5.282649676,2.989080906,0.419438452,0.906093526,0.906315789,1500
EN,qwen3,QLoRA nf4,q+k+v,32,5.315047709,3.036352634,0.404185355,0.910971508,0.911315789,1500
