dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,OGLoRA,q+k+v+o,4,3.09716543,2.880546093,0.439941406,0.858467693,0.859473684,300
EN,qwen3,OGLoRA,q+k+v+o,8,3.849833155,2.901458263,0.463378906,0.883963051,0.883947368,300
EN,qwen3,OGLoRA,q+k+v+o,16,5.350242949,2.943389416,0.987304688,0.863268018,0.863947368,300
EN,qwen3,OGLoRA,q+k+v+o,32,8.375925239,3.027678967,2.318359375,0.877462426,0.878026316,300
RU,qwen3,OGLoRA,q+v,4,19.48524955,2.865855694,0.401367188,0.909350981,0.90952265,8212
RU,qwen3,OGLoRA,q+v,8,21.24999367,2.876307964,0.382568359,0.913172947,0.913297613,8212
RU,qwen3,OGLoRA,q+v,16,24.80717531,2.897265911,0.368408203,0.914647253,0.914758889,8212
RU,qwen3,OGLoRA,q+v,32,32.10912606,2.939395428,0.391601563,0.913289025,0.913419386,8212
RU,qwen3,OGLoRA,q+k+v,4,22.51248581,2.874204159,0.405761719,0.910653582,0.910862153,8212
RU,qwen3,OGLoRA,q+k+v,8,25.15379772,2.888921261,0.387695313,0.909458595,0.909644423,8212
RU,qwen3,OGLoRA,q+k+v,16,30.45627172,2.918435574,0.368896484,0.911096363,0.911227472,8212
RU,qwen3,OGLoRA,q+k+v,32,41.15906393,2.977784634,0.426757813,0.905453692,0.905382367,8212
RU,qwen3,OGLoRA,q+k+v+o,4,25.66435981,2.880546093,0.392089844,0.907735297,0.907817828,8212
RU,qwen3,OGLoRA,q+k+v+o,8,29.1748428,2.901458263,0.363525391,0.916301907,0.916463712,8212
RU,qwen3,OGLoRA,q+k+v+o,16,36.33734785,2.943389416,0.455810547,0.909435544,0.90952265,8212
RU,qwen3,OGLoRA,q+k+v+o,32,50.77982815,3.027678967,0.398925781,0.910435516,0.910496834,8212
RU,qwen3,OGLoRA,q+v,4,1141.327589,2.865855694,0.430908203,0.904891548,0.904895275,8000
RU,qwen3,OGLoRA,q+v,8,1246.960054,2.876307964,0.395996094,0.9098184,0.909766196,8000
RU,qwen3,OGLoRA,q+v,16,1446.994713,2.897265911,0.383056641,0.910357386,0.910375061,8000
RU,qwen3,OGLoRA,q+v,32,1870.914957,2.939395428,0.34765625,0.915101287,0.915124208,8000
RU,qwen3,OGLoRA,q+k+v,4,1320.94296,2.874204159,0.385742188,0.910663403,0.910618607,8000
RU,qwen3,OGLoRA,q+k+v,8,1478.100544,2.888921261,0.499511719,0.901505823,0.901607404,8000
RU,qwen3,OGLoRA,q+k+v,16,1785.125145,2.918435574,0.373779297,0.916362778,0.916341939,8000
RU,qwen3,OGLoRA,q+k+v,32,2412.279246,2.977784634,0.542480469,0.902622373,0.902825134,8000
RU,qwen3,OGLoRA,q+k+v+o,4,1505.603058,2.880546093,0.375244141,0.912153778,0.912201656,8000
RU,qwen3,OGLoRA,q+k+v+o,8,1713.55777,2.901458263,0.354736328,0.916307157,0.916341939,8000
RU,qwen3,OGLoRA,q+k+v+o,16,2132.447293,2.943389416,0.34375,0.915241024,0.915245981,8000
RU,qwen3,OGLoRA,q+k+v+o,32,2982.155991,3.027678967,0.608398438,0.902931263,0.902946907,8000
RU,qwen3,OGLoRA,q+v,4,8.336024129,2.865855694,0.429199219,0.898290084,0.898197759,3000
RU,qwen3,OGLoRA,q+v,8,9.149104265,2.876307964,0.429931641,0.898965889,0.898928397,3000
RU,qwen3,OGLoRA,q+v,16,10.84346496,2.897265911,0.412597656,0.903053706,0.90306868,3000
RU,qwen3,OGLoRA,q+v,32,14.34371142,2.939395428,0.520019531,0.898696698,0.898928397,3000
RU,qwen3,OGLoRA,q+k+v,4,9.624457848,2.874204159,0.464599609,0.891185305,0.891256698,3000
RU,qwen3,OGLoRA,q+k+v,8,10.930449,2.888921261,0.4375,0.899499196,0.899537263,3000
RU,qwen3,OGLoRA,q+k+v,16,13.39554007,2.918435574,0.417724609,0.904023789,0.904042864,3000
RU,qwen3,OGLoRA,q+k+v,32,18.64155039,2.977784634,0.610351563,0.89229071,0.892230882,3000
RU,qwen3,OGLoRA,q+k+v+o,4,10.96107497,2.880546093,0.422119141,0.901529464,0.901607404,3000
RU,qwen3,OGLoRA,q+k+v+o,8,12.73500235,2.901458263,0.409423828,0.899224411,0.899171943,3000
RU,qwen3,OGLoRA,q+k+v+o,16,16.17224348,2.943389416,0.413085938,0.897758825,0.897710667,3000
RU,qwen3,OGLoRA,q+k+v+o,32,23.24071972,3.027678967,0.44921875,0.897898536,0.897954213,3000
RU,qwen3,OGLoRA,q+v,4,5.01180675,2.865855694,0.526367188,0.882780876,0.883097906,1500
RU,qwen3,OGLoRA,q+v,8,5.60948329,2.876307964,0.487792969,0.887377509,0.887603507,1500
RU,qwen3,OGLoRA,q+v,16,6.830050572,2.897265911,0.474365234,0.893509362,0.893813931,1500
RU,qwen3,OGLoRA,q+v,32,9.318827693,2.939395428,0.480712891,0.897672778,0.89783244,1500
RU,qwen3,OGLoRA,q+k+v,4,5.843774231,2.874204159,0.500488281,0.886299108,0.886629323,1500
RU,qwen3,OGLoRA,q+k+v,8,6.742211719,2.888921261,0.485839844,0.888637938,0.888821237,1500
RU,qwen3,OGLoRA,q+k+v,16,8.566071145,2.918435574,0.4609375,0.893185281,0.893448612,1500
RU,qwen3,OGLoRA,q+k+v,32,12.24310236,2.977784634,0.561035156,0.884330759,0.884315636,1500
RU,qwen3,OGLoRA,q+k+v+o,4,6.67005597,2.880546093,0.467529297,0.889412815,0.889673648,1500
RU,qwen3,OGLoRA,q+k+v+o,8,7.903330882,2.901458263,0.499023438,0.892213626,0.892474428,1500
RU,qwen3,OGLoRA,q+k+v+o,16,10.38206495,2.943389416,0.475830078,0.895914001,0.896005845,1500
RU,qwen3,OGLoRA,q+k+v+o,32,15.38840802,3.027678967,1.291015625,0.875038767,0.874573794,1500
RU,qwen3,OGLoRA,q+v,4,2.441900456,2.865855694,1.026367188,0.562365035,0.572333171,300
RU,qwen3,OGLoRA,q+v,8,2.842163841,2.876307964,0.708984375,0.729821507,0.730150999,300
RU,qwen3,OGLoRA,q+v,16,3.654120692,2.897265911,0.5546875,0.84330996,0.842791038,300
RU,qwen3,OGLoRA,q+v,32,5.290332675,2.939395428,0.623535156,0.850958835,0.850219191,300
RU,qwen3,OGLoRA,q+k+v,4,2.879477485,2.874204159,0.918457031,0.605264222,0.611787628,300
RU,qwen3,OGLoRA,q+k+v,8,3.473232464,2.888921261,0.575195313,0.790036272,0.78957623,300
RU,qwen3,OGLoRA,q+k+v,16,4.683234982,2.918435574,11.265625,0.777778339,0.777764247,300
RU,qwen3,OGLoRA,q+k+v,32,7.098203909,2.977784634,1.446289063,0.837289035,0.836337068,300
RU,qwen3,OGLoRA,q+k+v+o,4,3.29545126,2.880546093,0.526855469,0.804342749,0.804188992,300
RU,qwen3,OGLoRA,q+k+v+o,8,4.107190784,2.901458263,0.5703125,0.84475285,0.844617633,300
RU,qwen3,OGLoRA,q+k+v+o,16,5.771059906,2.943389416,0.686523438,0.844607505,0.843765222,300
RU,qwen3,OGLoRA,q+k+v+o,32,9.07748704,3.027678967,1.760742188,0.819376176,0.816975158,300
