model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
qwen2.5,LoRA,q+v,4,30.93,8.5,1.89453125,0.919892956,0.920131579,15000
qwen2.5,LoRA,q+v,8,30.92,8.51,1.482421875,0.922737022,0.922894737,15000
qwen2.5,LoRA,q+v,16,31.03,8.52,0.333496094,0.93774803,0.937894737,15000
qwen2.5,LoRA,q+v,32,31.75,8.55,0.495117188,0.936172662,0.936315789,15000
qwen2.5,LoRA,q+k+v,4,33.15,8.72,2.919921875,0.919103874,0.919473684,15000
qwen2.5,LoRA,q+k+v,8,33.12,8.72,1.8984375,0.926967823,0.927236842,15000
qwen2.5,LoRA,q+k+v,16,33.27,8.74,1.16796875,0.926619424,0.926973684,15000
qwen2.5,LoRA,q+k+v,32,34.15,8.78,1.2890625,0.930241174,0.930526316,15000
qwen2.5,LoRA,q+k+v+o,4,36.23,8.93,0.306640625,0.941616341,0.941710526,15000
qwen2.5,LoRA,q+k+v+o,8,36.22,8.95,0.301513672,0.942064508,0.942105263,15000
qwen2.5,LoRA,q+k+v+o,16,35.93,8.78,0.288574219,0.94376513,0.943815789,15000
qwen2.5,LoRA,q+k+v+o,32,37.92,9.03,0.298339844,0.939865169,0.94,15000
qwen2.5,QLoRA nf4,q+v,4,52.07589288,4.75438261,0.333695382,0.932796524,0.932894737,15000
qwen2.5,QLoRA nf4,q+v,8,51.97106911,4.771037579,0.323376536,0.934210513,0.934342105,15000
qwen2.5,QLoRA nf4,q+v,16,51.92996261,4.776471138,0.307917923,0.939137056,0.939210526,15000
qwen2.5,QLoRA nf4,q+v,32,51.98367126,4.816540718,0.29212001,0.940485223,0.940526316,15000
qwen2.5,QLoRA nf4,q+k+v,4,53.64725257,4.897014141,0.329091787,0.934102632,0.934210526,15000
qwen2.5,QLoRA nf4,q+k+v,8,53.50569992,4.902535439,0.301258862,0.937136423,0.937236842,15000
qwen2.5,QLoRA nf4,q+k+v,16,53.37862291,4.92734623,0.286753416,0.941255663,0.941315789,15000
qwen2.5,QLoRA nf4,q+k+v,32,53.31866353,4.967629433,0.278512985,0.943758909,0.943815789,15000
qwen2.5,QLoRA nf4,q+k+v+o,4,54.98337137,5.026967049,0.303504586,0.938731569,0.938815789,15000
qwen2.5,QLoRA nf4,q+k+v+o,8,54.8169791,5.041661263,0.305492133,0.939489266,0.939605263,15000
qwen2.5,QLoRA nf4,q+k+v+o,16,54.79059991,5.071171761,0.28701067,0.942548665,0.942631579,15000
qwen2.5,QLoRA nf4,q+k+v+o,32,54.703103,5.128666878,0.275750935,0.946004323,0.946052632,15000
qwen2.5,QLoRA fp4,q+v,4,52.8027629,3.673685074,0.325115591,0.934882565,0.935,15000
qwen2.5,QLoRA fp4,q+v,8,52.78188142,3.680098057,0.317037135,0.933958716,0.934078947,15000
qwen2.5,QLoRA fp4,q+v,16,52.74281616,3.691329956,0.309956908,0.935943865,0.936052632,15000
qwen2.5,QLoRA fp4,q+v,32,52.72388668,3.727310181,0.296289027,0.938612971,0.938684211,15000
qwen2.5,QLoRA fp4,q+k+v,4,54.41054477,3.806807041,0.32490626,0.933685039,0.933815789,15000
qwen2.5,QLoRA fp4,q+k+v,8,54.26537696,3.811840057,0.309308618,0.936204473,0.936315789,15000
qwen2.5,QLoRA fp4,q+k+v,16,54.22216758,3.836589813,0.296785384,0.939663844,0.939736842,15000
